"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/10/2023","AQS","360050080","3","5.6","ug/m3 LC","23","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/12/2023","AQS","360050080","3","10.3","ug/m3 LC","43","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/13/2023","AQS","360050080","3","13.6","ug/m3 LC","54","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/14/2023","AQS","360050080","3","15.8","ug/m3 LC","59","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/15/2023","AQS","360050080","3","3.6","ug/m3 LC","15","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/16/2023","AQS","360050080","3","3.1","ug/m3 LC","13","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/17/2023","AQS","360050080","3","2.8","ug/m3 LC","12","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/18/2023","AQS","360050080","3","2.5","ug/m3 LC","10","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/19/2023","AQS","360050080","3","4.1","ug/m3 LC","17","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/20/2023","AQS","360050080","3","4.4","ug/m3 LC","18","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/21/2023","AQS","360050080","3","5.9","ug/m3 LC","25","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/22/2023","AQS","360050080","3","7.7","ug/m3 LC","32","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/25/2023","AQS","360050080","3","3","ug/m3 LC","13","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/26/2023","AQS","360050080","3","5.7","ug/m3 LC","24","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/27/2023","AQS","360050080","3","6.2","ug/m3 LC","26","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/28/2023","AQS","360050080","3","4.3","ug/m3 LC","18","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/29/2023","AQS","360050080","3","0.9","ug/m3 LC","4","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"04/30/2023","AQS","360050080","3","-0.8","ug/m3 LC","0","MORRISANIA","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.83606","-73.92009"
"01/03/2023","AQS","360050110","1","20.3","ug/m3 LC","68","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/06/2023","AQS","360050110","1","6.7","ug/m3 LC","28","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/09/2023","AQS","360050110","1","8.9","ug/m3 LC","37","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/12/2023","AQS","360050110","1","6","ug/m3 LC","25","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/15/2023","AQS","360050110","1","3.8","ug/m3 LC","16","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/18/2023","AQS","360050110","1","6.3","ug/m3 LC","26","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/21/2023","AQS","360050110","1","1.9","ug/m3 LC","8","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/24/2023","AQS","360050110","1","4.8","ug/m3 LC","20","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/27/2023","AQS","360050110","1","6.2","ug/m3 LC","26","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"01/30/2023","AQS","360050110","1","12.3","ug/m3 LC","51","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
